id;name;postal_code;latitude;longitude;created_at;created_by;updated_at;updated_by;active
1;after neglect;huzzah;10548.03;16614.41;2025-11-21T21:21:14;notwithstanding meh;2025-11-22T04:40:57;not;false
2;excluding tussle;ah elicit;1764.56;15967.01;2025-11-22T03:03:22;cigarette tailor left;2025-11-21T22:09:28;zowie;false
3;madly pace diligently;while;16610.83;1442.37;2025-11-21T19:04:11;in shrilly;2025-11-21T16:56:24;fluid effector overheard;false
4;absence upon noisy;limitation or;12483.46;14283.8;2025-11-21T12:55:38;overlie wonderfully alongside;2025-11-22T09:32:02;notwithstanding;true
5;dive sedately;dissociate try;22205.65;7104.97;2025-11-22T03:20:17;following;2025-11-22T01:56:05;once;false
6;casserole;times;9855.53;13573.68;2025-11-22T07:31:08;pretest yum;2025-11-22T03:11:17;kindly till punctually;false
7;meander;host;5608.66;3937.4;2025-11-21T19:03:50;embarrass gadzooks;2025-11-21T17:42:46;victorious pish photoshop;true
8;luminous famously signify;likewise though;25296.44;29350.11;2025-11-21T12:55:19;amidst;2025-11-21T20:16:38;needily;false
9;productive;per commonly radiant;20367.33;29886.55;2025-11-21T16:57:17;boo stymie;2025-11-22T09:02:13;more;true
10;hm;likewise yahoo;7885.52;31892.55;2025-11-21T21:08:47;likewise;2025-11-21T18:17:24;pish ouch ribbon;true
