id;name;code;created_at;created_by;updated_at;updated_by;active
1;ha immediately;blackness;2025-11-22T01:34:07;aha;2025-11-22T00:38:34;supposing insistent;false
2;rinse lest swathe;well;2025-11-22T00:12:41;appearance;2025-11-22T01:50:30;outlying;false
3;even;next woot;2025-11-22T03:07:48;impala eventually;2025-11-22T01:03:06;unlike unimpressively alongside;false
4;combust um;suddenly ew;2025-11-21T14:27:36;since blah by;2025-11-21T13:10:08;oddly scarily braai;false
5;ah locality;fatally upliftingly able;2025-11-21T14:49:03;hydrogen regarding;2025-11-21T17:10:43;arena delightfully;true
6;gosh ouch;for woefully;2025-11-22T08:06:52;and;2025-11-22T11:20:21;for yuck;true
7;buzzing inexperienced pleased;for whose proof;2025-11-22T00:37:27;amuse;2025-11-22T03:38:55;unless purple;true
8;spin;whereas;2025-11-22T09:14:57;neatly which;2025-11-21T15:57:23;extinguish until;false
9;sentimental wise absent;ha back;2025-11-22T02:04:42;mmm;2025-11-22T04:34:09;rudely;true
10;invest magnificent accompany;flicker zowie solemnly;2025-11-22T09:19:55;incompatible pfft;2025-11-22T09:54:01;yowza concerned until;true
