id;name;code;description;website;registration_number
1;as pace jubilantly;athwart inspect outside;circa high;considering than ugly;freely quietly failing
2;around humongous dead;concerning;innocently anchored catalog;physically;of conceptualize
3;rating worthless;bowlful;minus;skulk zowie infantile;loyally past brr
4;imaginary;though;till;shrill well against;webbed fabulous adventurously
5;piece far bloat;spirited fondly;yum agreeable;now save controversy;factorise qualified
6;modulo;high before;husky;yippee;though hidden
7;considering;once low yippee;while finally;mousse;indeed
8;how;phew pack;righteously;forenenst supposing who;emphasise use
9;which strike;yawningly;however bedazzle prickly;enchanted;worship fuzzy warlock
10;exocrine roughly;bereave;decide;amid delayed falsify;merry at up
