id;deal_number;deal_value;status;currency;start_date;close_date;notes;tenant_id;customer_id
1;knit mallard vice;2664.48;CLOSED;e-mail;2025-11-26T17:39:09;2025-11-26T21:10:37;blah athwart openly;1;1
2;rotating;6919.31;LOST;bar;2025-11-26T21:07:56;2025-11-27T04:49:32;phew clearly;2;2
3;volunteer;16594.36;LOST;elevator i;2025-11-27T00:01:47;2025-11-27T01:24:44;so poorly;3;3
4;before more;22806.04;CLOSED;enormously;2025-11-26T16:35:14;2025-11-27T13:58:32;politely;4;4
5;indeed;21458.51;LOST;under mise;2025-11-27T02:09:55;2025-11-27T13:48:35;yippee;5;5
6;object;30654.36;CLOSED;late downc;2025-11-27T12:32:38;2025-11-27T13:12:01;concerning basic whack;6;6
7;simplistic till;1349.25;WON;downshift;2025-11-27T13:27:22;2025-11-27T10:15:43;yippee queasily;7;7
8;roger gee hutch;8613.61;NEW;switch;2025-11-26T19:11:50;2025-11-27T05:57:53;geez repurpose yum;8;8
9;qualified pry circa;5074.48;CLOSED;gee yahoo;2025-11-27T03:31:47;2025-11-27T02:56:50;patroller popularity realistic;9;9
10;unimpressively along gee;10081.84;CLOSED;fictionali;2025-11-26T19:37:43;2025-11-26T21:05:18;electrify reward;10;10
