id;title;status;estimated_value;currency;notes;tenant_id;owner_user_id
1;tame accredit meh;QUALIFIED;15642.5;categorise;zowie;1;1
2;ack until;QUALIFIED;1868.34;loudly uh-;righteously yippee;2;2
3;lumpy per;QUALIFIED;18434.15;whereas re;whoa;3;3
4;aha;DISQUALIFIED;26977.49;duh;sun and blaring;4;4
5;phew or doubtfully;CONVERTED;31836.53;internalis;importance;5;5
6;ouch;QUALIFIED;2948.07;soup;pish ha;6;6
7;ceramics;CONTACTED;1822.84;thorough u;potable where;7;7
8;ugh;DISQUALIFIED;30822.59;writhing t;likewise bourgeoisie circa;8;8
9;lest;DISQUALIFIED;5997.54;qua opposi;lay considering supposing;9;9
10;furthermore whereas;NEW;10146.99;gosh;overdub deprave misappropriate;10;10
