id;name;description;code
1;escalate;since because afterwards;expose um notwithstanding
2;um;apud;likely apud
3;liver or colorful;drat jovially ew;scarily ruler
4;spokesman bitterly commercialize;helmet incidentally;sentimentalize telemeter fooey
5;disbelieve amongst;cannulate attachment eventually;known who whenever
6;failing;kindheartedly;bail
7;worriedly perfumed whenever;supposing unless;consequently slowly of
8;vacantly while for;jam-packed;calmly soil
9;plunger likewise;boring necessitate foundation;killer dashboard canalize
10;awkwardly;or tool tenderly;suspiciously drat oh
