id;title;message;notification_type;is_read;tenant_id;recipient_id
1;unexpectedly;between excluding;flickering;false;1;1
2;hmph;yuck tightly despite;indeed banish;true;2;2
3;per whimsical repurpose;new meh worthwhile;continually;false;3;3
4;pepper;against though likable;cruelly cycle;false;4;4
5;boo;loyally perky sharply;vague however provided;false;5;5
6;enrich tragic curse;leading yowza;handover yet and;false;6;6
7;bah;worth cruelty dimly;gown seriously;true;7;7
8;ice-cream waver;including pants abnegate;bah lest absent;true;8;8
9;yet apud;incidentally bah;aw per;false;9;9
10;content;toaster separately;underneath that;true;10;10
