id;name;name_search;module;is_default;tenant_id
1;harmful suspension;mechanic whenever;DEAL;true;1
2;dream acclaimed;fortunately apprehensive;COMPLAINT;false;2
3;barring over;crocodile before before;DEAL;false;3
4;inside;massive condense;GENERAL;false;4
5;whose outgoing;than;COMPLAINT;false;5
6;raw voluntarily;progress;DEAL;true;6
7;eke outgoing mid;denitrify likely wealthy;GENERAL;true;7
8;oxidise;whoa heartache;DEAL;false;8
9;rapidly;or acceptable;GENERAL;false;9
10;obscure quantify;aw absent boo;LEAD;true;10
