id;code;name;description;max_users;max_storage_mb;max_customers;max_contacts;max_quotations;max_complaints;price_per_month;currency;is_active
1;inculcate eulogise;what;hastily;29903;3021;27197;7597;28960;29953;30705.11;than gripp;false
2;per quick-witted;enormously curiously;with pfft;20215;32745;25579;26887;31310;9967;14358.45;warmly aw;true
3;keel;spirited;lampoon;16303;15085;11681;7607;31206;27531;12553.95;clearly wh;true
4;phew;huzzah gadzooks hm;via annual depute;7872;2672;20383;17010;19313;24883;7440.41;toward uti;false
5;but in-joke;needily which;hepatitis;27525;31400;6605;21560;6331;31901;10823.2;obediently;false
6;curse broadly where;whose alert huzzah;meanwhile whoever;10378;10862;24131;840;20967;21566;26012.57;whoever un;true
7;after bell puff;quick geez;yet ferociously quirkily;9952;19023;31315;12361;705;11170;29749.63;never wond;false
8;meanwhile fuss eventually;neat;anguished;21177;18529;18801;6638;2023;7599;14895.68;inborn moo;true
9;whoever without;forswear;in challenge unimpressively;18032;9523;18418;19174;27974;7256;3305.85;blah reaso;false
10;owlishly minus;ah sore;swiftly consequently;14348;24187;2517;28955;6366;30082;9805.72;upwardly a;true
