id;quote_number;estimate_date;valid_until;status;revision_number;currency;subtotal;item_discount_total;global_discount_type;global_discount_value;global_discount_amount;taxable_amount;total_tax;shipping_amount;other_charges_amount;round_off_amount;total_amount;title;header_notes;footer_notes;terms_and_conditions;reference_number;last_sent_at;pdf_template_code;tenant_id;customer_id
1;after rewarding anenst;2025-11-27;2025-11-27;SENT;21765;staid;8211.36;18920.48;PERCENT;543.17;1201.7;2971.7;11458.31;25266.39;6962.39;13455.48;27017.92;forenenst resource;circa;long;aw;since enchanting after;2025-11-26T21:51:46;kielbasa;1;1
2;switch;2025-11-26;2025-11-27;EXPIRED;12637;offset lon;26304.26;9106.66;AMOUNT;23604.55;20424.01;17950.38;26449.86;26196.27;5547.27;28396.91;7039.69;sick;wetly seagull refer;overcooked remark phew;after;juicy absent;2025-11-27T06:14:49;CD blah gee;2;2
3;geez yippee beside;2025-11-26;2025-11-26;DRAFT;29564;brightly u;532.14;16088.93;PERCENT;5429.59;30786.64;4033.81;14136.9;11611.67;23118.38;2563.05;26917.16;or for although;consequently shoddy;gadzooks although whoa;culminate gee;atop fussy;2025-11-26T21:03:39;finally calculating;3;3
4;urban quickly victorious;2025-11-26;2025-11-26;DRAFT;3800;daintily u;1637.18;16958.27;PERCENT;31693.83;14352.22;14105.38;24696.94;26161.49;3732.74;7282.75;4662.74;unit follower;meanwhile quarrelsome;why athletic;bonnet;afore;2025-11-27T07:33:21;meh eyebrow while;4;4
5;monocle reference briefly;2025-11-26;2025-11-27;ACCEPTED;11908;considerin;634.53;13548.24;AMOUNT;23989.62;25704.63;4666.57;29983.42;24942.73;12795.78;11465.52;29530.84;hmph determined and;victoriously;earnest cantaloupe pick;wiggly;tousle across christen;2025-11-27T12:28:48;aside despite govern;5;5
6;though jaggedly;2025-11-27;2025-11-27;DRAFT;18629;jovially u;15787.41;26580.57;PERCENT;14946.23;26540.7;4375.8;5892.34;13545.63;2782.5;15548.26;10664.66;beneficial;including corporation quaintly;flawless;miserable aha;upward aw among;2025-11-26T20:23:55;misspend;6;6
7;amidst beside;2025-11-27;2025-11-27;SENT;2564;painfully ;26379.48;31432.51;PERCENT;2856.93;29515.69;23225.87;21299.88;2297.8;26461.76;30381.95;4036.05;soon gaseous;imagineer whether till;yippee zowie afterwards;eminent shyly aha;incidentally cheese spherical;2025-11-27T12:40:23;suspiciously despite hm;7;7
8;unless;2025-11-27;2025-11-26;REJECTED;376;nightlife ;10161.11;8205.93;PERCENT;2069.48;2242.85;17720.09;16927.28;9805.81;29270.61;5923.54;8170.79;excluding forenenst;geez whenever always;behold concerning summer;amid lovingly throughout;good;2025-11-26T21:34:12;since partially;8;8
9;warp atop;2025-11-26;2025-11-27;REJECTED;23757;integer to;13810.95;30528.37;PERCENT;27752.22;5582.16;2172.26;12372.12;1553;6050.93;22397.97;18640.45;descent;mmm;incidentally;afore pronoun;extremely butter deafening;2025-11-26T16:28:27;bouncy pro;9;9
10;yearningly soft;2025-11-27;2025-11-27;SENT;20498;heighten a;278.13;30296.73;PERCENT;21319.52;18783.04;30047.87;13364.44;5149.36;21592.35;22845.08;10144.23;svelte whoa skeleton;guilty inconsequential;brand fairly;commemorate;by;2025-11-26T19:23:40;granular ferociously for;10;10
