id;product_name;product_sku;product_description;unit_label;quantity;unit_price;discount_type;discount_value;discount_amount;taxable_amount;tax_rate;tax_amount;line_total;sort_order;tenant_id;quotation_id
1;reopen;warmly;snarling so amongst;volleyball fiercely;25726.94;28578.78;PERCENT;29057.94;17713.56;9673.77;6124.72;29468.66;28637.34;15613;1;1
2;stuff swim;reproachfully wonderful blah;scuttle;baptise nor aw;16108.73;17413.23;PERCENT;3706.67;7514.22;3068.73;6639.3;20512.82;17925.66;14765;2;2
3;urgently;swat amused whose;glisten;how who egg;9233.84;28786.14;AMOUNT;18919.31;30775.06;3862.21;16909.69;24948.93;5898.6;7673;3;3
4;through toaster toothbrush;beyond;misread;after or toward;12754.03;13418.46;AMOUNT;7004.63;8907.29;14403.26;24349.92;13702.08;26626.49;1619;4;4
5;yippee;stealthily aside bide;joyful;drug round;31916.56;12876.09;AMOUNT;27626.62;14066.71;2484.66;10763.74;24227.7;14421.56;1619;5;5
6;unless gerbil once;ah dimly since;even unexpectedly shy;dimly gladly hydrocarbon;27313;1805.25;AMOUNT;20573.16;27256.05;28238.36;420.11;25003.95;7768.2;14106;6;6
7;within broadly pension;likewise actual;impolite bah nor;in;5923.49;3460.61;PERCENT;10868.59;14995.83;30853.54;21570.06;14961.25;22856.89;341;7;7
8;blah till before;astride mid lucky;across gym;utilization warmhearted;25593.83;12631.32;AMOUNT;30604.41;28660.49;1146.8;3894.79;10806.17;18145.87;14980;8;8
9;oof treble;segregate ew;phew;sardonic longingly angle;5821.19;23939.61;PERCENT;17657.65;23607.69;22658.13;4883.22;20858.34;27119.06;13654;9;9
10;intently yum;instructive;maestro hypothesize;humidity;28279.49;17106.5;PERCENT;8612.09;19122.01;13509.75;8616.46;13758.4;4386.67;2299;10;10
