id;code;name;description;config_json;is_active;tenant_id
1;whether;especially chase;utilization vice;huddle but lest;false;1
2;or;past ouch beside;yet well-to-do who;upside-down almost joyously;true;2
3;federate scented endow;possession before;worriedly when corrupt;yak advocate;false;3
4;drat;scar;horst;boastfully;false;4
5;promptly popularity;sarong unless;uh-huh;webbed;true;5
6;per wide-eyed;since very;curiously before until;tabletop;true;6
7;provided unless;gracefully;utilization and;amid indeed phooey;true;7
8;except bah;through without pretend;questioningly considering;outside soap formula;false;8
9;worth;tail across;rundown outrank;annex;false;9
10;helpless;inspect gosh;spirit;sadly meanwhile;true;10
