id;name;code;created_at;created_by;updated_at;updated_by;active
1;average absent less;appropriate enormously cop;2025-11-21T15:13:46;throw per;2025-11-21T21:29:04;glaring;false
2;sizzle;mobilize gah;2025-11-21T20:58:11;potentially curd;2025-11-21T13:12:32;cheerfully;false
3;gosh;consequently awesome;2025-11-21T23:35:33;shawl perjure;2025-11-21T17:06:17;commonly;false
4;hm;wealth questioningly decisive;2025-11-21T12:51:40;aha youthfully via;2025-11-22T02:41:36;washbasin;false
5;monopoly;around debtor;2025-11-22T12:00:31;glisten ziggurat;2025-11-21T20:58:33;ouch scale;true
6;previous wag magnet;sandy meanwhile;2025-11-22T08:41:51;forked;2025-11-21T14:38:23;per;false
7;how tally;between quicker whose;2025-11-21T14:07:40;unimpressively behind phooey;2025-11-21T14:23:37;dob corny although;true
8;anenst veldt tights;impractical following;2025-11-22T03:47:15;before shackle;2025-11-22T01:56:57;carol fluid;false
9;execution fritter aboard;rowboat;2025-11-21T20:45:32;bronze;2025-11-22T06:56:23;shakily super via;false
10;plonk;qua;2025-11-22T04:48:06;irresponsible knowledgeably hungry;2025-11-21T19:52:04;given past champ;true
