id;name;name_search;sequence_order;probability;is_closing_stage;tenant_id;pipeline_id
1;recompense which misread;minus;13927;3063;true;1;1
2;remand redress searchingly;upside-down beneath;22890;23115;true;2;2
3;replicate;SUV that yet;10197;30915;false;3;3
4;anguished divine;questionably unused strict;27808;19317;true;4;4
5;truly incidentally;reasoning;20670;5087;false;5;5
6;dandelion embalm;concerning;9910;30669;false;6;6
7;oxygenate;woot;1918;11090;true;7;7
8;greatly pish;while;14799;27930;true;8;8
9;banish truly;finally entire;25911;18014;false;9;9
10;flowery;nutritious tune;25543;19234;true;10;10
