id;status;start_date;end_date;trial_end_date;last_renewed_at;next_billing_at;tenant_id;plan_id
1;EXPIRED;2025-11-27;2025-11-26;2025-11-27;2025-11-27T01:28:17;2025-11-27T00:25:48;1;1
2;CANCELLED;2025-11-27;2025-11-27;2025-11-27;2025-11-27T07:33:29;2025-11-26T16:39:02;2;2
3;CANCELLED;2025-11-26;2025-11-26;2025-11-27;2025-11-27T02:05:36;2025-11-26T17:37:52;3;3
4;TRIAL;2025-11-26;2025-11-27;2025-11-27;2025-11-27T07:05:39;2025-11-27T15:02:19;4;4
5;EXPIRED;2025-11-26;2025-11-27;2025-11-27;2025-11-27T00:38:29;2025-11-27T05:11:12;5;5
6;ACTIVE;2025-11-26;2025-11-27;2025-11-27;2025-11-27T13:58:41;2025-11-27T12:18:43;6;6
7;CANCELLED;2025-11-27;2025-11-27;2025-11-27;2025-11-27T09:25:29;2025-11-27T10:26:00;7;7
8;EXPIRED;2025-11-27;2025-11-27;2025-11-27;2025-11-27T13:05:17;2025-11-27T00:54:33;8;8
9;EXPIRED;2025-11-27;2025-11-27;2025-11-26;2025-11-27T00:54:15;2025-11-27T13:45:47;9;9
10;CANCELLED;2025-11-27;2025-11-26;2025-11-27;2025-11-26T21:35:05;2025-11-27T05:54:43;10;10
